Adjusted_ID,GPA_Fall ,Sex,Cohort ,Athlete_Team,Major_Fall,Total_Attendance,TW1_Attendance,Social_1,Emotional_1,Academic_1,Athletic_1,TW2_Attendance,Social_2,Emotional_2,Academic_2,Athletic_2,TW3_Attendance,Social_3,Emotional_3,Academic_3,Athletic_3,TW4_Attendance,Social_4,Emotional_4,Academic_4,Athletic_4
242501,3.6,1,3,Ice Hockey,2,2,1,5,4,2,4,1,5,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
242502,2.6,1,3,Lacrosse,2,2,1,5,5,5,5,0,NA,NA,NA,NA,1,2,2,2,2,0,NA,NA,NA,NA
242503,3.94,1,3,Track/Cross Country,2,4,1,5,4,5,4,1,5,4,5,5,1,5,5,5,5,1,5,4,5,5
242504,3.48,2,3,Softball,3,4,1,5,4,4,4,1,5,4,4,4,1,5,4,4,4,1,5,5,4,5
242505,2.91,1,3,Lacrosse,0,3,1,5,4,4,4,0,NA,NA,NA,NA,1,4,4,4,4,1,5,4,4,4
242506,3.04,1,3,Soccer,2,3,1,3,2,3,2,1,2,2,2,2,1,2,2,2,2,0,NA,NA,NA,NA
242507,2.52,1,3,Lacrosse,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
242508,3.93,1,3,Lacrosse,3,4,1,5,5,4,4,1,5,4,5,4,1,5,5,4,4,1,5,5,4,4
242509,3.75,1,3,Track/Cross Country,3,3,1,4,2,4,4,1,5,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA
2425010,3.94,2,3,Volleyball,0,4,1,5,4,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2425011,3.7,2,3,Golf,3,4,1,5,4,4,4,1,5,4,4,5,1,5,4,4,4,1,5,5,5,5
2425012,3.71,1,3,Track/Cross Country,1,4,1,4,4,3,5,1,4,4,3,4,1,4,4,4,5,1,4,4,4,5
2425013,3.67,2,3,Equestrian,0,4,1,2,2,2,2,1,4,4,4,4,1,2,4,4,4,1,4,4,4,4
2425014,3.45,1,3,Track/Cross Country,3,4,1,4,4,3,4,1,5,5,4,4,1,5,5,4,5,1,5,5,5,4
2425015,2.94,2,3,Equestrian,3,4,1,2,1,1,3,1,3,1,1,3,1,3,1,1,2,1,3,3,1,1
2425016,3.54,2,3,Swimming and Diving,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,2,4,4,4
2425017,3.37,2,3,Track/Cross Country,3,3,1,4,4,3,5,0,NA,NA,NA,NA,1,4,4,4,5,1,4,4,4,5
2425018,3.15,2,3,Track/Cross Country,2,4,1,5,5,4,5,1,5,4,4,4,1,5,5,4,4,1,5,4,4,4
2425019,3.92,2,3,Lacrosse,3,4,1,4,4,4,4,1,5,4,4,4,1,5,5,5,5,1,5,5,5,5
2425020,3.9,2,3,Field Hockey,3,4,1,4,2,2,1,1,4,4,1,4,1,3,2,2,2,1,2,2,4,3
2425021,3.57,1,3,Track/Cross Country,2,3,0,NA,NA,NA,NA,1,4,4,4,5,1,5,5,5,5,1,5,5,5,5
2425022,3,2,3,Lacrosse,1,4,1,5,4,4,4,1,5,5,4,5,1,5,5,4,4,1,5,5,4,4
2425023,3.85,2,3,Volleyball,1,1,1,5,5,4,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425024,2.67,2,3,Basketball,0,4,1,5,2,4,4,1,5,4,2,4,1,5,4,2,4,1,5,4,1,4
2425025,4,2,3,Basketball,3,4,1,5,4,4,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,4
2425026,3.09,2,3,Golf,3,3,1,4,3,2,5,1,5,4,2,5,0,NA,NA,NA,NA,1,5,5,4,5
2425027,2.5,1,3,Soccer,1,1,1,2,2,3,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425028,2.93,1,3,Track/Cross Country,0,4,1,5,5,2,2,1,4,4,4,4,1,5,5,4,4,1,5,5,4,5
2425029,3.78,2,3,Lacrosse,2,3,1,4,4,4,4,1,4,4,4,5,1,5,4,5,5,0,NA,NA,NA,NA
2425030,3.09,2,3,Lacrosse,1,4,1,2,2,2,4,1,4,4,4,5,1,4,4,4,4,1,4,4,4,4
2425031,2.92,2,3,Lacrosse,1,4,1,4,2,2,4,1,4,2,4,4,1,4,4,4,4,1,4,4,4,4
2425032,4,2,3,Swimming and Diving,1,3,1,5,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,5,5,4,4
2425033,4,2,3,Track/Cross Country,2,3,1,5,5,5,5,1,4,4,4,5,1,4,4,5,4,0,NA,NA,NA,NA
2425034,4,1,3,Track/Cross Country,2,3,1,4,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA,1,4,4,4,4
2425035,3,1,3,Lacrosse,2,3,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,0,NA,NA,NA,NA
2425036,3.7,1,3,Swimming and Diving,3,3,1,5,5,5,5,1,5,5,4,5,0,NA,NA,NA,NA,1,5,4,4,4
2425037,3.93,2,3,Swimming and Diving,1,4,1,2,2,4,3,1,2,2,2,2,1,4,4,4,4,1,4,4,4,4
2425038,1.69,1,3,Basketball,0,3,1,4,2,1,4,1,5,2,1,5,0,NA,NA,NA,NA,1,4,5,2,4
2425039,3.41,2,3,Softball,1,3,1,5,4,2,3,1,4,3,2,2,1,4,4,3,4,0,NA,NA,NA,NA
2425040,4,2,3,Track/Cross Country,3,4,1,4,5,5,5,1,5,4,5,5,1,5,5,5,5,1,5,5,5,5
2425041,3.37,2,3,Field Hockey,0,3,1,4,4,2,4,1,4,5,4,4,0,NA,NA,NA,NA,1,5,5,4,4
2425042,3.55,2,3,Equestrian,0,3,1,2,4,4,4,1,2,4,4,4,0,NA,NA,NA,NA,1,2,2,4,4
2425043,3.91,2,3,Golf,1,4,1,4,4,4,4,1,5,5,4,5,1,5,5,4,5,1,5,5,5,5
2425044,2.88,1,3,Track/Cross Country,1,4,1,2,2,1,4,1,4,2,2,3,1,4,2,2,3,1,4,4,2,3
2425045,3.25,1,3,Basketball,2,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,4
2425046,3.52,2,3,Tennis,3,3,1,5,4,4,4,1,5,4,4,4,1,5,5,5,4,0,NA,NA,NA,NA
2425047,3.21,1,3,Soccer,2,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425048,3.02,2,3,Swimming and Diving,3,3,1,4,4,2,4,1,4,4,2,4,1,4,4,2,4,0,NA,NA,NA,NA
2425049,2.65,2,3,Tennis,0,4,1,4,4,4,4,1,4,4,3,4,1,2,2,2,4,1,2,2,2,2
2425050,2.79,1,3,Swimming and Diving,3,3,1,2,2,3,3,0,NA,NA,NA,NA,1,4,2,2,3,1,4,3,2,2
2425051,3.7,2,3,Track/Cross Country,1,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425052,3.83,2,3,Softball,3,4,1,4,4,4,4,1,4,5,5,5,1,4,4,5,4,1,4,4,5,4
2425053,4,1,3,Swimming and Diving,2,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2425054,4,2,3,Track/Cross Country,0,4,1,4,2,2,4,1,4,4,4,4,1,5,5,4,4,1,5,5,4,4
2425055,3.65,1,3,Track/Cross Country,3,4,1,3,2,4,4,1,2,2,2,2,1,3,3,3,3,1,3,3,3,3
2425056,3.93,2,3,Soccer,0,3,1,4,3,3,4,1,4,2,4,3,1,4,4,4,4,0,NA,NA,NA,NA
2425057,2.44,2,3,Track/Cross Country,3,3,1,4,3,2,5,0,NA,NA,NA,NA,1,5,4,2,5,1,5,4,2,5
2425058,1,2,3,Field Hockey,3,3,1,5,3,3,3,1,3,2,2,4,1,5,3,2,3,0,NA,NA,NA,NA
2425059,3.15,2,3,Volleyball,3,3,1,5,4,4,4,0,NA,NA,NA,NA,1,5,5,5,5,1,5,5,5,5
2425060,2.25,2,3,Softball,3,2,1,5,4,4,5,1,5,4,4,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425061,2.64,2,3,Lacrosse,3,3,1,4,4,2,4,1,4,4,2,4,1,2,2,4,2,0,NA,NA,NA,NA
2425062,3.63,2,3,Swimming and Diving,3,3,1,5,4,3,5,1,5,4,4,4,1,5,4,3,4,0,NA,NA,NA,NA
2425063,4,2,3,Soccer,1,2,0,NA,NA,NA,NA,1,5,4,5,4,0,NA,NA,NA,NA,1,4,4,5,4
2425064,3.53,2,3,Softball,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2425065,3.76,2,3,Equestrian,2,2,0,NA,NA,NA,NA,1,4,5,5,5,1,4,4,4,4,0,NA,NA,NA,NA
2425066,4,2,3,Tennis,3,4,1,5,5,4,5,1,5,4,4,4,1,5,5,5,4,1,5,5,4,4
2425067,3.28,2,3,Lacrosse,1,4,1,4,4,4,4,1,4,4,4,4,1,5,5,5,5,1,5,5,5,5
2425068,2.88,1,3,Track/Cross Country,3,3,1,4,4,3,5,1,5,5,4,5,1,4,4,4,5,0,NA,NA,NA,NA
2425069,3.44,1,3,Lacrosse,2,4,1,4,4,4,5,1,4,4,4,4,1,4,4,4,5,1,5,5,5,5
2425070,2.63,1,3,Lacrosse,2,2,1,5,5,4,5,0,NA,NA,NA,NA,1,5,5,2,5,0,NA,NA,NA,NA
2425071,3.33,2,3,Field Hockey,3,4,1,2,2,2,4,1,4,4,2,4,1,4,4,2,4,1,4,2,2,2
2425072,3.51,2,3,Track/Cross Country,0,4,1,4,5,5,5,1,5,5,5,5,1,5,5,4,5,1,5,5,5,5
2425073,3.57,1,3,Track/Cross Country,2,4,1,4,5,4,5,1,4,4,4,5,1,5,5,5,5,1,5,5,5,5
2425074,2.67,1,3,Track/Cross Country,0,3,1,4,4,3,4,1,4,4,3,4,1,4,4,4,4,0,NA,NA,NA,NA
2425075,3.93,2,3,Volleyball,1,2,1,4,2,2,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,4,5,4
2425076,3.22,2,3,Soccer,3,3,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA
2425077,3.42,2,3,Track/Cross Country,3,2,1,4,4,4,5,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425078,3.78,1,3,Lacrosse,2,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2425079,3.92,2,3,Lacrosse,3,4,1,2,2,2,2,1,4,4,4,4,1,5,4,5,4,1,5,4,4,4
2425080,2.51,2,3,Lacrosse,1,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2425081,3.63,2,3,Soccer,3,3,1,4,5,2,4,1,4,4,2,4,1,4,4,4,4,0,NA,NA,NA,NA
2425082,3.12,1,3,Lacrosse,2,3,1,4,4,4,5,1,4,4,4,4,1,5,5,4,5,0,NA,NA,NA,NA
2425083,3.37,1,3,Lacrosse,2,2,1,4,4,4,4,0,NA,NA,NA,NA,1,5,5,5,5,0,NA,NA,NA,NA
2425084,3.48,1,3,Track/Cross Country,3,4,1,2,4,2,5,1,2,4,2,4,1,4,4,2,4,1,4,4,4,5
2425085,3.76,1,3,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2425086,3.32,1,3,Swimming and Diving,3,4,1,5,5,2,4,1,5,5,4,4,1,5,4,3,5,1,5,4,4,5
2425087,3.31,1,3,Swimming and Diving,2,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2425088,2.64,2,3,Soccer,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425089,2.61,2,3,Field Hockey,3,2,1,4,4,3,2,1,4,4,3,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425090,3.35,2,3,Track/Cross Country,0,4,1,4,4,4,4,1,5,5,5,4,1,4,4,4,4,1,5,5,5,5
2425091,2.93,2,3,Field Hockey,2,3,1,4,4,3,4,1,5,4,2,4,1,4,4,2,4,0,NA,NA,NA,NA
2425092,3.66,1,3,Track/Cross Country,3,4,1,5,4,3,2,1,4,5,4,4,1,5,4,4,4,1,5,5,4,4
2425093,3.36,1,3,Swimming and Diving,2,1,1,5,4,1,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425094,3.02,2,3,Track/Cross Country,3,2,1,4,4,4,4,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2425095,2.92,2,3,Soccer,3,4,1,5,5,5,5,1,5,5,4,5,1,5,5,4,5,1,5,5,5,5
2425096,3.22,1,3,Track/Cross Country,2,2,0,NA,NA,NA,NA,1,5,5,4,5,1,5,5,4,4,0,NA,NA,NA,NA
2425097,2.91,2,3,Swimming and Diving,3,3,1,5,4,4,4,1,5,4,2,4,1,4,4,2,4,0,NA,NA,NA,NA
2425098,2.62,1,3,Track/Cross Country,3,4,1,5,5,4,5,1,5,5,4,5,1,5,5,2,5,1,5,5,2,4
2425099,3.15,2,3,Lacrosse,2,4,1,4,4,2,4,1,5,5,4,4,1,5,5,3,4,1,5,5,5,5
24250100,3.46,1,3,Swimming and Diving,2,3,1,2,3,4,4,1,3,2,2,2,1,3,3,3,3,0,NA,NA,NA,NA
24250101,3.21,2,3,Track/Cross Country,3,3,1,4,4,2,4,1,4,4,4,4,1,4,4,2,1,0,NA,NA,NA,NA
24250102,2.43,1,3,Lacrosse,2,3,1,4,4,3,4,1,4,4,4,4,1,4,4,2,4,0,NA,NA,NA,NA
24250103,3.15,2,3,Field Hockey,3,4,1,2,2,4,2,1,1,2,2,2,1,1,2,2,2,1,4,4,4,4
24250104,4,2,3,Swimming and Diving,3,4,1,4,2,2,4,1,4,2,4,4,1,4,2,4,4,1,4,4,4,4
24250105,2.9,1,3,Track/Cross Country,2,4,1,5,4,5,5,1,5,5,4,5,1,5,5,5,5,1,5,5,5,5
24250106,3.84,2,3,Track/Cross Country,1,4,1,4,4,4,4,1,5,4,4,4,1,4,4,4,4,1,5,4,4,4
24250107,2.61,2,3,Track/Cross Country,1,3,1,4,4,4,4,1,5,5,5,5,1,5,5,5,5,0,NA,NA,NA,NA
24250108,3.58,2,3,Track/Cross Country,2,4,1,4,4,4,4,1,4,4,4,4,1,5,5,5,5,1,5,5,5,5
24250109,2.48,1,3,Track/Cross Country,1,3,1,4,4,2,4,0,NA,NA,NA,NA,1,4,2,2,2,1,2,2,2,2
24250110,3.07,1,3,Lacrosse,3,3,1,5,5,5,5,1,4,4,4,4,1,5,5,5,5,0,NA,NA,NA,NA
24250111,1.82,2,3,Lacrosse,3,3,1,5,4,4,2,1,5,4,4,4,1,5,4,4,3,0,NA,NA,NA,NA
24250112,3.58,1,3,Ice Hockey,2,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
24250113,3.3,2,3,Field Hockey,0,3,1,4,2,3,2,1,5,4,4,5,0,NA,NA,NA,NA,1,4,4,2,4
24250114,2.54,2,3,Swimming and Diving,3,2,1,5,5,5,5,0,NA,NA,NA,NA,1,4,4,4,4,0,NA,NA,NA,NA
24250115,2.07,1,3,Basketball,2,4,1,4,4,4,4,1,4,4,2,4,1,4,4,2,4,1,4,4,2,4
24250116,3.95,2,3,Equestrian,3,4,1,2,2,2,2,1,2,2,2,2,1,4,4,4,4,1,4,4,4,2
24250117,2.65,1,3,Lacrosse,1,1,1,5,5,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250118,3.46,2,3,Basketball,1,4,1,4,5,4,5,1,4,5,4,4,1,5,5,3,4,1,5,5,4,4
24250119,1.66,1,3,Lacrosse,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250120,3.76,2,3,Tennis,2,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
24250121,2.47,1,3,Ice Hockey,0,4,1,2,2,2,4,1,2,2,2,4,1,4,4,3,4,1,2,2,2,2
24250122,3.09,1,3,Basketball,3,4,1,4,5,4,4,1,5,5,4,5,1,5,5,5,5,1,5,5,5,5
24250123,2.84,1,3,Soccer,2,4,1,3,3,2,3,1,2,4,4,4,1,4,4,4,4,1,2,2,2,2
24250124,2.88,1,3,Soccer,2,4,1,4,4,2,4,1,5,5,3,4,1,2,2,2,2,1,5,5,5,5
24250125,4,1,3,Ice Hockey,2,4,1,4,5,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
24250126,2.09,1,3,Swimming and Diving,2,3,1,4,4,4,5,1,4,4,4,4,1,5,5,4,4,0,NA,NA,NA,NA
24250127,3.68,1,3,Ice Hockey,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,5,4,4,4
24250128,3.91,2,3,Track/Cross Country,3,2,1,4,4,4,5,1,4,3,4,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250129,3.21,1,3,Lacrosse,2,2,1,5,4,4,4,0,NA,NA,NA,NA,1,5,5,4,5,0,NA,NA,NA,NA
24250130,2.78,1,3,Swimming and Diving,0,4,1,2,2,2,4,1,4,4,4,4,1,4,3,3,4,1,3,3,3,3
24250131,3.25,1,3,Ice Hockey,0,2,1,5,5,1,4,0,NA,NA,NA,NA,1,4,4,2,4,0,NA,NA,NA,NA
24250132,3.23,2,3,Volleyball,1,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250133,3.02,2,3,Basketball,0,3,1,2,4,2,4,0,NA,NA,NA,NA,1,4,4,2,4,1,4,4,4,4
24250134,1.17,2,3,Volleyball,1,1,1,4,2,2,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
24250135,3.35,1,3,Ice Hockey,2,4,1,4,2,2,4,1,4,4,2,4,1,4,4,4,4,1,4,4,2,4
24250136,3.11,1,3,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
24250137,3.21,1,3,Ice Hockey,0,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,5
24250138,2.96,2,3,Soccer,3,2,1,2,2,2,2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2,2,2,2
24250139,3.46,1,3,Ice Hockey,0,4,1,4,4,2,4,1,4,4,4,3,1,4,4,4,2,1,4,4,4,4
24250140,3.76,1,3,Ice Hockey,2,3,1,4,4,4,4,1,4,5,4,4,1,5,5,5,4,0,NA,NA,NA,NA
24250141,3.26,1,3,Ice Hockey,0,4,1,4,4,4,4,1,4,4,2,4,1,4,4,2,4,1,4,4,4,4
